生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53181    0.050    0.000    0.662    0.000 {built-in method builtins.setattr}
    26590    0.100    0.000    0.653    0.000 zipfile\__init__.py:1200(write)
    13277    0.052    0.000    0.632    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\shapes\shapetree.py:178(_next_ph_name)
     5304    0.014    0.000    0.564    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\std.py:451(fp_write)
   159324    0.302    0.000    0.557    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\fill.py:169(__new__)
    13277    0.012    0.000    0.552    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\shared.py:109(ph_orient)
    10610    0.010    0.000    0.549    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\tqdm\utils.py:194(inner)
    13277    0.012    0.000    0.537    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\shared.py:120(ph_sz)
     5306    0.532    0.000    0.532    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    13277    0.013    0.000    0.532    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\shapes\shared.py:98(ph_idx)
        1    0.004    0.004    0.518    0.518 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\serialized.py:85(_write_content_types_stream)
    53265    0.061    0.000    0.512    0.000 <frozen posixpath>:416(abspath)
   717481    0.294    0.000    0.482    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:155(_clark_name)
